69,08
71,90
67,93
66,03
67,08
69,00
65,51
66,10
67,87
69,19
66,35
69,14
66,28
63,54
61,64
57,16
53,66
49,58
45,90
41,38
36,15
37,19
37,81
35,34
33,13
34,13
36,75
33,59
27,15
19,94
12,76
8,41
7,88
6,50
8,08
12,70
17,47
23,17
28,11
30,10
33,59
37,71
43,39
45,82
44,64
45,79
47,57
47,67
45,63
41,94
33,97
23,27
14,72
8,05
4,27
2,39
2,52
4,80
7,34
9,54
11,44
11,74
11,68
10,91
9,30
9,34
11,28
11,22
9,47
9,31
8,69
8,17
6,90
5,91
5,12
4,88
3,70
2,75
2,39
1,03
0,52
0,39
0,37
0,64
1,45
2,27
2,94
3,50
4,81
7,08
9,90
11,73
12,05
12,64
14,26
16,19
18,87
21,22
25,17
27,18
29,48
31,84
32,44
32,45
31,22
30,34
27,04
23,06
21,37
18,60
15,55
11,67
10,53
9,70
7,75
5,92
4,47
3,17
2,78
2,31
2,55
3,48
4,35
5,54
8,29
12,99
17,86
21,76
27,11
31,81
36,31
39,95
43,75
47,71
49,95
51,47
